class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&table->hash[i].lock:,0,0,0,0,0,0,5,15,0.69,13.84,35.54,2.37
&table->hash2[i].lock:,0,0,0,0,0,0,10,20,0.16,0.84,7,0.35
&n->lock-W:,0,0,0,0,0,0,1,3,1.8,3.63,8.08,2.69
&n->lock-R:,0,0,0,0,0,0,0,2,1,1.07,2.07,1.04
&____s->seqcount#8-R:,0,0,0,0,0,0,0,7,0.12,0.31,1.55,0.22
&list->lock#3:,0,0,0,0,0,0,0,12,0.29,1.14,5.6,0.47
&____s->seqcount#9-R:,0,0,0,0,0,0,0,4,0.14,0.44,1.12,0.28
&newf->resize_wait:,0,0,0,0,0,0,1,2,0.55,0.57,1.12,0.56
&lg->lg_mutex:,0,0,0,0,0,0,0,120,10.03,57.19,1831.76,15.26
&pa->pa_lock:,0,0,0,0,0,0,0,370,0.17,0.93,137.71,0.37
&lg->lg_prealloc_lock:,0,0,0,0,0,0,0,239,0.17,0.68,53.8,0.23
&pl->lock:,0,0,0,0,0,0,18,28,1.53,2.8,61.25,2.19
kn->active#1-R:,0,0,0,0,0,0,0,12,0.66,6.11,39.81,3.32
vsock_table_lock:,0,0,0,0,0,0,0,15,0.43,1.68,15.04,1
slock-AF_VSOCK:,0,0,0,0,0,0,22,121,0.07,25.53,141.85,1.17
sk_lock-AF_VSOCK:,0,0,0,0,0,0,0,53,1.09,900.61,3212.35,60.61
*(sspp++)-R:,0,0,0,0,0,0,0,26574,0.05,16.39,3456.56,0.13
&tfile->lock:,0,0,0,0,0,0,433,13398,0.11,23.82,6366.58,0.48
(&cb->timer):,0,0,0,0,0,0,0,448,1.56,17.01,2298.97,5.13
&client->buffer_lock:,0,0,0,0,0,0,1518,5950,0.09,16.06,1753.29,0.29
&client->wait:,0,0,0,0,0,0,16,1381,0.1,86.57,27092.24,19.62
&(&wb->dwork)->timer:,0,0,0,0,0,0,0,19,7.85,26.58,285.2,15.01
(wq_completion)writeback:,0,0,0,0,0,0,0,19,22.32,31143.41,92812.66,4884.88
(work_completion)(&(&wb->dwork)->work:,0,0,0,0,0,0,0,19,21.54,31142.58,92794.12,4883.9
dev->qdisc_running_key ?: &qdisc_runn:,0,0,0,0,0,0,0,24,1.11,56.24,218.5,9.1
&dev->tx_global_lock:,0,0,0,0,0,0,0,19,3.28,7.03,91.37,4.81
&sch->q.lock:,0,0,0,0,0,0,4,29,0.15,2.76,44.44,1.53
fasync_lock:,0,0,0,0,0,0,7,9,0.41,0.98,4.99,0.55
rlock-AF_INET:,0,0,0,0,0,0,23,36,0.15,1,12.21,0.34
&list->lock#4:,0,0,0,0,0,0,1,32,0.41,1.51,23.59,0.74
&(&adapter->watchdog_task)->timer:,0,0,0,0,0,0,0,47,1.8,26.83,426.55,9.08
(work_completion)(&(&adapter->watchdo:,0,0,0,0,0,0,0,47,588.06,715.94,29438.18,626.34
&adapter->stats_lock:,0,0,0,0,0,0,0,47,575.38,699.49,28774.3,612.22
dev_addr_sem-R:,0,0,0,0,0,0,3,24,0.28,0.91,9.17,0.38
clock-AF_INET-W:,0,0,0,0,0,0,0,29,0.12,0.69,5.87,0.2
clock-AF_INET-R:,0,0,0,0,0,0,0,5,0.27,0.64,2.15,0.43
&tty->ctrl_lock:,0,0,0,0,0,0,7,34,0.13,2.43,20.7,0.61
timekeeper_lock:,0,0,0,0,0,0,2398,23685,0.21,36.07,30545.6,1.29
&tdev->object_lock:,0,0,0,0,0,0,2757,8932,0.14,158.85,13340.52,1.49
&man->space_mutex:,0,0,0,0,0,0,1015,2308,0.54,25.36,4131.83,1.79
&man->alloc_queue:,0,0,0,0,0,0,808,2308,0.16,1.49,844.14,0.37
&dev_priv->cursor_lock:,0,0,0,0,0,0,137,1325,0.13,18.6,948.96,0.72
&mc_lst->sflock-R:,0,0,0,0,0,0,0,4,0.24,0.47,1.42,0.36
rlock-AF_INET6:,0,0,0,0,0,0,8,12,0.18,0.8,4.32,0.36
&(&tbl->gc_work)->timer:,0,0,0,0,0,0,0,12,0.83,26.08,69.58,5.8
(work_completion)(&(&tbl->gc_work)->w:,0,0,0,0,0,0,0,12,0.96,3.48,26.61,2.22
(&dev->watchdog_timer):,0,0,0,0,0,0,0,19,4.32,8.19,113.56,5.98
(&n->timer):,0,0,0,0,0,0,0,1,86.73,86.73,86.73,86.73
&type->s_umount_key#5-R:,0,0,0,0,0,0,0,4,384.36,1865.45,3902.62,975.65
&pa->pa_lock#2:,0,0,0,0,0,0,0,205,0.2,1.23,79.77,0.39
arch/x86/kernel/check.c:165:,0,0,0,0,0,0,0,1,6.85,6.85,6.85,6.85
&tty->winsize_mutex:,0,0,0,0,0,0,522,1740,0.14,55.23,842.43,0.48
net/ipv6/addrconf.c:159:,0,0,0,0,0,0,0,1,7.63,7.63,7.63,7.63
init_mm.page_table_lock:,0,0,0,0,0,0,5,7,0.53,0.67,4.05,0.58
(&pool->idle_timer):,0,0,0,0,0,0,0,1,6.97,6.97,6.97,6.97
console_work:,0,0,0,0,0,0,0,8,5.06,6.77,46.54,5.82
&type->s_vfs_rename_key:,0,0,0,0,0,0,14,18,39.07,66.25,858.95,47.72
