class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
(work_completion)(&(&group->avgs_work:,0,0,0,0,0,0,0,907,37.45,228.92,55455.84,61.14
&group->avgs_lock:,0,0,0,0,0,0,201,907,37.27,161.07,54567.41,60.16
(bios_check_work).work:,0,0,0,0,0,0,0,1,8.58,8.58,8.58,8.58
led_lock:,0,0,0,0,0,0,0,147,0.14,1.09,67.13,0.46
&fp->aux->used_maps_mutex:,0,0,0,0,0,0,0,9,0.48,0.77,5.35,0.59
module_kaslr_mutex:,0,0,0,0,0,0,9,9,0.72,1.08,7.55,0.84
&sb->s_type->i_lock_key#8:,0,0,0,0,0,0,435,24551,0.07,40.97,7310.32,0.3
kbd_event_lock:,0,0,0,0,0,0,0,444,0.13,10.39,367.62,0.83
jiffies_seq.seqcount-W:,0,0,0,0,0,0,0,12287,0.08,20.85,3172.49,0.26
jiffies_seq.seqcount-R:,0,0,0,0,0,0,0,199082,0.06,51.94,37011.39,0.19
gdp_mutex:,0,0,0,0,0,0,6,9,1.39,2.14,14.4,1.6
batched_entropy_u32.lock:,0,0,0,0,0,0,0,2576,0.11,14.51,1205.85,0.47
&net->ipv6.fib6_walker_lock:,0,0,0,0,0,0,3,28,0.13,1.13,5.97,0.21
&type->i_mutex_dir_key#1-R:,0,0,0,0,0,0,4,13,2.86,13.03,75.11,5.78
kn->active#1-R:,0,0,0,0,0,0,0,54,2.41,10.89,271.89,5.04
&ws->lock:,0,0,0,0,0,0,0,162,0.82,4.1,318.73,1.97
(wq_completion)events_unbound:,0,0,0,0,0,0,0,49,4.62,44.76,1263.39,25.78
&journal->j_wait_updates:,0,0,0,0,0,0,694,16533,0.15,28.62,4303.35,0.26
&type->i_mutex_dir_key#2-R:,0,0,0,0,0,0,109,784,0.43,264.18,6608.32,8.43
inode_hash_lock:,0,0,0,0,0,0,151,301,0.29,19.93,338.68,1.13
&host->lock:,0,0,0,0,0,0,42,52,7.09,74.74,1704.07,32.77
&dev->event_lock:,0,0,0,0,0,0,972,1848,0.64,151.86,5739.73,3.11
&ehci->lock:,0,0,0,0,0,0,0,798,0.73,13.87,1453.4,1.82
&uhci->lock:,0,0,0,0,0,0,0,217,53.61,126.23,13648.7,62.9
i8042_lock:,0,0,0,0,0,0,15,2448,8.49,48.17,31255.22,12.77
&ent->pde_unload_lock:,0,0,0,0,0,0,24,245,0.11,1.53,54.52,0.22
&serio->lock:,0,0,0,0,0,0,0,2448,0.62,235.17,61766.28,25.23
net_dm_mutex:,0,0,0,0,0,0,6,9,0.44,0.77,5.56,0.62
&net->ipv6.ip6addrlbl_table.lock:,0,0,0,0,0,0,0,90,0.12,0.37,15.36,0.17
&ndev->lock-W:,0,0,0,0,0,0,0,27,0.33,1.48,18.03,0.67
&ndev->lock-R:,0,0,0,0,0,0,515,757,0.14,17.3,943.05,1.25
